gene_ID	hgnc_symbol	chr	strand	start	end	NCOA3_CE_log2FoldChange	NCOA3_CE_pvalue	NCOA3_CE_padj	NCOA3_KO_log2FoldChange	NCOA3_KO_pvalue	NCOA3_KO_padj	NCOA3_PTC_log2FoldChange	NCOA3_PTC_pvalue	NCOA3_PTC_padj
ENSG00000271254		KI270711.1	-	4612	29626	0.041	0.647	0.946	0.076	0.393	0.796	-0.033	0.711	1
ENSG00000276345		KI270721.1	+	2585	11802	22.8	9.93e-11		22.7	7.28e-11		23.9	3.88e-12	
ENSG00000277196		KI270734.1	-	138082	161852	-0.22	0.524	0.919	0.0204	0.952	0.993	-0.147	0.667	1
ENSG00000278817		KI270734.1	+	131494	137392	-0.19	0.591	0.933	0.121	0.728	0.94	-0.0495	0.887	1
ENSG00000198692	EIF1AY	chrY	+	20575776	20593154	-0.157	0.293	0.825	-0.17	0.251	0.701	-0.119	0.422	1
ENSG00000229236	TTTY10	chrY	-	20464916	20575519	0.0943	0.903		0.429	0.567		-0.332	0.681	1
ENSG00000260197		chrY	-	19691941	19694606	0.472	0.383		0.157	0.776		0.297	0.586	1
ENSG00000290853		chrY	+	13703902	13888980	-0.0638	0.772	0.968	-0.487	0.0342	0.336	-0.133	0.551	1
ENSG00000067048	DDX3Y	chrY	+	12904108	12920478	-0.0891	0.302	0.831	0.0282	0.742	0.944	-0.101	0.238	1
ENSG00000286009		chrY	-	12661309	12663478	1.65	0.401		2.38	0.212		0.719	0.73	
ENSG00000290323		chrY	-	7694707	7810305	0.373	0.816		-0.979	0.591		-0.395	0.818	
ENSG00000176679	TGIF2LY	chrY	+	3579067	3580041	-1.45	0.521		-1.48	0.508		-0.631	0.771	
ENSG00000231535	LINC00278	chrY	+	3002887	3200509	0.281	0.259	0.808	-0.0239	0.924	0.987	0.132	0.596	1
ENSG00000233070	ZFY-AS1	chrY	-	2966844	3002626	0.149	0.649	0.946	0.249	0.446	0.825	0.214	0.513	1
ENSG00000278847		chrY	-	2934406	2934771	-0.552	0.677		-0.261	0.837		-0.604	0.647	
ENSG00000182484	WASH6P	chrX	+	156020826	156025710	0.326	0.0255	0.424	0.235	0.107	0.529	0.261	0.0726	1
ENSG00000124334	IL9R	chrX	+	155997696	156010817	0.5	0.68		0.798	0.5		0.965	0.41	1
ENSG00000124333	VAMP7	chrX	+	155881345	155943769	-0.171	0.101	0.644	-0.177	0.0875	0.492	-0.11	0.287	1
ENSG00000224533	TMLHE-AS1	chrX	+	155466540	155611616	1.05	0.552		1.35	0.44		1.35	0.44	
ENSG00000155961	RAB39B	chrX	-	155258235	155264491	0.418	0.434		0.642	0.221		-0.0545	0.922	1
ENSG00000203870	SMIM9	chrX	-	154823348	154834662	-0.629	0.103	0.648	-0.157	0.675	0.921	-0.4	0.293	1
ENSG00000154620	TMSB4Y	chrY	+	13703899	13706024	-0.603	0.557	0.927	0.0507	0.96	0.993	0.25	0.806	1
ENSG00000130830	MPP1	chrX	-	154778684	154821007	-0.245	0.0252	0.422	-0.206	0.0578	0.42	-0.0826	0.447	1
ENSG00000272681	FAM223B	chrX	-	154632470	154633182	1.67	0.246		1.06	0.474		1.85	0.19	1
ENSG00000184033	CTAG1B	chrX	-	154617609	154619282	-2.36	0.537		-2.44	0.52		-2.42	0.523	
ENSG00000269335	IKBKG	chrX	+	154541199	154565046	0.0474	0.677	0.95	0.0363	0.749	0.946	0.148	0.189	1
ENSG00000160211	G6PD	chrX	-	154517825	154547572	-0.0758	0.522	0.918	-0.158	0.18	0.633	0.0231	0.844	1
ENSG00000102178	UBL4A	chrX	-	154483717	154486615	-0.069	0.528	0.92	-0.0153	0.888	0.978	-0.026	0.811	1
ENSG00000130827	PLXNA3	chrX	+	154458281	154477779	0.254	0.0559	0.542	0.312	0.0177	0.252	0.19	0.15	1
ENSG00000071859	FAM50A	chrX	+	154444141	154450654	-0.0107	0.919	0.989	0.026	0.802	0.959	0.0269	0.796	1
ENSG00000013563	DNASE1L1	chrX	-	154401236	154412112	0.168	0.343	0.856	0.201	0.254	0.704	0.0661	0.709	1
ENSG00000280195		chrX	-	154396878	154398842	0.109	0.852		0.634	0.262		0.299	0.604	1
ENSG00000169057	MECP2	chrX	-	154021573	154137103	0.0805	0.428	0.888	0.0124	0.903	0.982	0.151	0.136	1
ENSG00000177854	TMEM187	chrX	+	153972754	153983194	0.13	0.701	0.956	0.541	0.0996	0.518	0.21	0.53	1
ENSG00000102032	RENBP	chrX	-	153935269	153944687	1.17	0.327		-0.0188	0.988		-1.96	0.223	
ENSG00000089820	ARHGAP4	chrX	-	153907367	153934999	-0.0822	0.836	0.977	0.135	0.73	0.941	0.261	0.501	1
ENSG00000198910	L1CAM	chrX	-	153861514	153886173	0.121	0.79	0.971	0.585	0.193	0.648	0.427	0.344	1
ENSG00000067840	PDZD4	chrX	-	153802166	153830565	-1.98	0.27		-0.835	0.616		-1.16	0.49	
ENSG00000180879	SSR4	chrX	+	153793516	153798499	-0.0832	0.494	0.908	0.0843	0.483	0.843	0.00392	0.974	1
ENSG00000067829	IDH3G	chrX	-	153785766	153794512	-0.137	0.105	0.65	-0.122	0.147	0.589	-0.0035	0.967	1
ENSG00000198753	PLXNB3	chrX	+	153764196	153779346	2.16	0.068		0.715	0.577		2.48	0.0331	1
ENSG00000185825	BCAP31	chrX	-	153700492	153724565	0.0674	0.48	0.903	0.143	0.13	0.564	0.115	0.226	1
