gene_ID	hgnc_symbol	chr	strand	start	end	PAX6_CE_log2FoldChange	PAX6_CE_pvalue	PAX6_CE_padj	PAX6_KO_log2FoldChange	PAX6_KO_pvalue	PAX6_KO_padj	PAX6_PTC_log2FoldChange	PAX6_PTC_pvalue	PAX6_PTC_padj
ENSG00000271254		KI270711.1	-	4612	29626	0.0158	0.929	1	0.0621	0.726	1	-0.121	0.493	1
ENSG00000277196		KI270734.1	-	138082	161852	0.0929	0.741	1	-0.0896	0.75	1	0.29	0.302	1
ENSG00000278817		KI270734.1	+	131494	137392	-0.418	0.77	1	1.11	0.434	1	1.29	0.363	1
ENSG00000198692	EIF1AY	chrY	+	20575776	20593154	0.00617	0.969	1	-0.0216	0.892	1	-0.116	0.462	1
ENSG00000229236	TTTY10	chrY	-	20464916	20575519	-0.159	0.807	1	-0.0808	0.901	1	0.149	0.817	1
ENSG00000260197		chrY	-	19691941	19694606	-0.0934	0.779	1	-0.115	0.731	1	-0.0766	0.818	1
ENSG00000290853		chrY	+	13703902	13888980	-0.215	0.596	1	-0.344	0.397	1	0.304	0.454	1
ENSG00000067048	DDX3Y	chrY	+	12904108	12920478	-0.0286	0.838	1	-0.059	0.673	1	0.0101	0.942	1
ENSG00000286009		chrY	-	12661309	12663478	1.87	0.052	1	1.54	0.113	1	1.38	0.155	1
ENSG00000277930		chrY	-	4993858	4999650	0.0906	0.955	1	0.0555	0.973	1	0.829	0.6	1
ENSG00000231535	LINC00278	chrY	+	3002887	3200509	0.297	0.775	1	-0.225	0.832	1	0.224	0.83	1
ENSG00000278847		chrY	-	2934406	2934771	0.00717	0.996	1	-0.801	0.586	1	-0.573	0.689	1
ENSG00000182484	WASH6P	chrX	+	156020826	156025710	-0.118	0.523	1	0.0677	0.714	1	0.0907	0.622	1
ENSG00000124334	IL9R	chrX	+	155997696	156010817	-0.366	0.723	1	-0.546	0.602	1	0.73	0.465	1
ENSG00000124333	VAMP7	chrX	+	155881345	155943769	-0.0402	0.813	1	-0.17	0.319	1	-0.0435	0.798	1
ENSG00000224533	TMLHE-AS1	chrX	+	155466540	155611616	0.00748	0.994	1	-0.59	0.586	1	-0.222	0.836	1
ENSG00000155961	RAB39B	chrX	-	155258235	155264491	-0.0835	0.607	1	-0.308	0.0598	1	-0.0724	0.655	1
ENSG00000154620	TMSB4Y	chrY	+	13703899	13706024	-2.13	0.016	1	-0.188	0.831	1	-1.39	0.114	1
ENSG00000130830	MPP1	chrX	-	154778684	154821007	0.203	0.901	1	-3.02	0.123	1	0.304	0.851	1
ENSG00000272681	FAM223B	chrX	-	154632470	154633182	5.26	0.0297	1	3.91	0.111	1	4.14	0.0897	1
ENSG00000269335	IKBKG	chrX	+	154541199	154565046	0.0316	0.847	1	0.138	0.4	1	-0.0136	0.934	1
ENSG00000160211	G6PD	chrX	-	154517825	154547572	0.123	0.412	1	0.235	0.116	1	0.0871	0.56	1
ENSG00000102178	UBL4A	chrX	-	154483717	154486615	0.0508	0.796	1	0.181	0.357	1	0.0455	0.817	1
