gene_ID	hgnc_symbol	chr	strand	start	end	PPARG_CE_log2FoldChange	PPARG_CE_pvalue	PPARG_CE_padj	PPARG_KO_log2FoldChange	PPARG_KO_pvalue	PPARG_KO_padj	PPARG_PTC_log2FoldChange	PPARG_PTC_pvalue	PPARG_PTC_padj
ENSG00000271254		KI270711.1	-	4612	29626	0.0708	0.455	0.588	0.063	0.507	0.668	-0.0541	0.568	0.7
ENSG00000277196		KI270734.1	-	138082	161852	0.224	0.496	0.624	0.752	0.023	0.0707	0.452	0.167	0.291
ENSG00000278817		KI270734.1	+	131494	137392	-0.564	0.0769	0.152	-0.474	0.139	0.272	-1.21	2e-04	0.00116
ENSG00000198692	EIF1AY	chrY	+	20575776	20593154	0.171	0.218	0.341	0.0367	0.792	0.878	0.251	0.0676	0.144
ENSG00000229236	TTTY10	chrY	-	20464916	20575519	0.064	0.939	0.965	0.0435	0.959	0.978	-1.66	0.086	0.174
ENSG00000260197		chrY	-	19691941	19694606	0.718	0.108	0.199	0.34	0.456	0.625	-0.101	0.83	0.893
ENSG00000290853		chrY	+	13703902	13888980	0.776	0.00102	0.0042	0.538	0.0245	0.0743	0.27	0.258	0.402
ENSG00000067048	DDX3Y	chrY	+	12904108	12920478	-0.21	0.0224	0.0558	-0.324	0.000484	0.00321	-0.0408	0.655	0.77
ENSG00000286009		chrY	-	12661309	12663478	-0.9	0.614		1.29	0.391		1.33	0.371	
ENSG00000290323		chrY	-	7694707	7810305	2.95	0.15		1.56	0.476		0.00501	0.998	
ENSG00000277930		chrY	-	4993858	4999650	0.0851	0.984		2.61	0.528		0.966	0.817	
ENSG00000176679	TGIF2LY	chrY	+	3579067	3580041	0.843	0.762		-0.892	0.757		0.000679	1	
ENSG00000231535	LINC00278	chrY	+	3002887	3200509	0.769	5.49e-05	0.000347	0.449	0.0205	0.0649	0.529	0.00565	0.0191
ENSG00000233070	ZFY-AS1	chrY	-	2966844	3002626	-0.313	0.359	0.496	0.178	0.584	0.731	-0.0938	0.777	0.856
ENSG00000278847		chrY	-	2934406	2934771	-2.88	0.1		-1.04	0.49		-1.99	0.226	
ENSG00000182484	WASH6P	chrX	+	156020826	156025710	-0.508	1.16e-05	9.01e-05	-0.447	9.26e-05	0.00078	-0.408	0.000342	0.00181
ENSG00000124334	IL9R	chrX	+	155997696	156010817	0.299	0.788	0.858	0.526	0.628	0.764	-0.725	0.563	0.696
ENSG00000124333	VAMP7	chrX	+	155881345	155943769	-0.221	0.0051	0.0163	-0.115	0.141	0.275	-0.136	0.0813	0.167
ENSG00000224533	TMLHE-AS1	chrX	+	155466540	155611616	-2.06	0.319		0.166	0.933		-0.785	0.689	
ENSG00000155961	RAB39B	chrX	-	155258235	155264491	1.37	9e-04	0.00379	1.05	0.0112	0.0405	1.34	0.00108	0.00475
ENSG00000203870	SMIM9	chrX	-	154823348	154834662	-1.33	0.00637	0.0196	-1.27	0.00779	0.0306	-1.04	0.0264	0.068
ENSG00000154620	TMSB4Y	chrY	+	13703899	13706024	0.64	0.576	0.695	0.749	0.518	0.677	0.771	0.499	0.642
ENSG00000130830	MPP1	chrX	-	154778684	154821007	-0.431	0.00351	0.012	-0.162	0.278	0.445	-0.134	0.361	0.514
ENSG00000272681	FAM223B	chrX	-	154632470	154633182	-0.0415	0.974	0.986	-0.451	0.737		-0.932	0.491	0.635
ENSG00000269335	IKBKG	chrX	+	154541199	154565046	-0.183	0.0837	0.163	-0.241	0.0212	0.0665	-0.119	0.254	0.399
ENSG00000160211	G6PD	chrX	-	154517825	154547572	-0.0747	0.441	0.575	-0.148	0.13	0.26	0.0385	0.689	0.795
ENSG00000102178	UBL4A	chrX	-	154483717	154486615	0.154	0.181	0.296	0.135	0.242	0.404	0.204	0.0744	0.156
ENSG00000130827	PLXNA3	chrX	+	154458281	154477779	-0.214	0.16	0.27	-0.314	0.0417	0.112	-0.364	0.0169	0.0472
ENSG00000071859	FAM50A	chrX	+	154444141	154450654	-0.552	3.75e-07	4.48e-06	-0.377	0.00053	0.00346	-0.454	2.53e-05	0.000202
ENSG00000013563	DNASE1L1	chrX	-	154401236	154412112	-0.233	0.103	0.192	-0.158	0.26	0.425	-0.465	0.0013	0.00559
ENSG00000280195		chrX	-	154396878	154398842	1.07	0.0284	0.0678	0.715	0.155	0.295	0.919	0.0619	0.135
