gene_ID	hgnc_symbol	chr	strand	start	end	PITX1_PTC_log2FoldChange	PITX1_PTC_pvalue	PITX1_PTC_padj
ENSG00000271254		KI270711.1	-	4612	29626	-0.00521	0.955	1
ENSG00000277196		KI270734.1	-	138082	161852	0.0471	0.894	1
ENSG00000278817		KI270734.1	+	131494	137392	0.186	0.519	1
ENSG00000198692	EIF1AY	chrY	+	20575776	20593154	0.0535	0.767	1
ENSG00000229236	TTTY10	chrY	-	20464916	20575519	-0.333	0.746	1
ENSG00000260197		chrY	-	19691941	19694606	0.109	0.856	1
ENSG00000290853		chrY	+	13703902	13888980	0.493	0.0592	1
ENSG00000067048	DDX3Y	chrY	+	12904108	12920478	-0.0732	0.239	1
ENSG00000290323		chrY	-	7694707	7810305	14.3	1.94e-05	
ENSG00000277930		chrY	-	4993858	4999650	1.85	0.626	
ENSG00000176679	TGIF2LY	chrY	+	3579067	3580041	0.684	0.789	1
ENSG00000231535	LINC00278	chrY	+	3002887	3200509	0.178	0.308	1
ENSG00000233070	ZFY-AS1	chrY	-	2966844	3002626	0.195	0.61	1
ENSG00000278847		chrY	-	2934406	2934771	0.114	0.954	1
ENSG00000182484	WASH6P	chrX	+	156020826	156025710	-0.0895	0.524	1
ENSG00000124334	IL9R	chrX	+	155997696	156010817	0.0576	0.965	1
ENSG00000124333	VAMP7	chrX	+	155881345	155943769	-0.0615	0.494	1
ENSG00000224533	TMLHE-AS1	chrX	+	155466540	155611616	2.5	0.0825	1
ENSG00000155961	RAB39B	chrX	-	155258235	155264491	0.188	0.75	1
ENSG00000203870	SMIM9	chrX	-	154823348	154834662	-0.535	0.107	1
ENSG00000154620	TMSB4Y	chrY	+	13703899	13706024	1.02	0.294	1
ENSG00000130830	MPP1	chrX	-	154778684	154821007	-0.327	7.13e-06	0.000951
ENSG00000272681	FAM223B	chrX	-	154632470	154633182	1.68	0.165	1
ENSG00000184033	CTAG1B	chrX	-	154617609	154619282	1.33	0.684	1
ENSG00000269335	IKBKG	chrX	+	154541199	154565046	-0.00466	0.972	1
ENSG00000160211	G6PD	chrX	-	154517825	154547572	-0.15	0.0761	1
ENSG00000102178	UBL4A	chrX	-	154483717	154486615	0.0819	0.548	1
ENSG00000130827	PLXNA3	chrX	+	154458281	154477779	0.0513	0.566	1
ENSG00000071859	FAM50A	chrX	+	154444141	154450654	-0.0454	0.556	1
ENSG00000013563	DNASE1L1	chrX	-	154401236	154412112	-0.101	0.576	1
ENSG00000280195		chrX	-	154396878	154398842	0.404	0.548	1
ENSG00000169057	MECP2	chrX	-	154021573	154137103	0.0511	0.67	1
ENSG00000177854	TMEM187	chrX	+	153972754	153983194	1.15	0.00316	0.235
ENSG00000102032	RENBP	chrX	-	153935269	153944687	0.0668	0.963	1
ENSG00000089820	ARHGAP4	chrX	-	153907367	153934999	-0.16	0.706	1
