gene_ID	hgnc_symbol	chr	strand	start	end	POU2F3_CE_log2FoldChange	POU2F3_CE_pvalue	POU2F3_CE_padj	POU2F3_KO_log2FoldChange	POU2F3_KO_pvalue	POU2F3_KO_padj	POU2F3_PTC_log2FoldChange	POU2F3_PTC_pvalue	POU2F3_PTC_padj
ENSG00000271254		KI270711.1	-	4612	29626	-0.244	0.0144	0.0578	-0.162	0.097	0.228	-0.163	0.0855	0.366
ENSG00000277196		KI270734.1	-	138082	161852	0.229	0.565	0.705	0.06	0.879	0.928	0.346	0.359	0.669
ENSG00000278817		KI270734.1	+	131494	137392	-0.153	0.672	0.786	-0.114	0.748	0.843	-0.21	0.546	0.794
ENSG00000198692	EIF1AY	chrY	+	20575776	20593154	0.35	0.0173	0.0652	0.268	0.0637	0.176	0.288	0.0408	0.286
ENSG00000229236	TTTY10	chrY	-	20464916	20575519	-1.41	0.128	0.257	-0.975	0.266		-1.7	0.058	0.32
ENSG00000260197		chrY	-	19691941	19694606	0.528	0.255	0.416	0.38	0.408	0.576	0.418	0.348	0.659
ENSG00000290853		chrY	+	13703902	13888980	0.583	0.0261	0.0857	0.264	0.311	0.483	0.372	0.14	0.45
ENSG00000067048	DDX3Y	chrY	+	12904108	12920478	-0.125	0.203	0.356	-0.179	0.0638	0.176	-0.0891	0.339	0.652
ENSG00000286009		chrY	-	12661309	12663478	-0.0219	0.99		1.78	0.237		-0.907	0.613	
ENSG00000290323		chrY	-	7694707	7810305	-0.772	0.724		-1.55	0.486		-0.548	0.795	
ENSG00000277930		chrY	-	4993858	4999650	0.512	0.909		1.28	0.768		0.765	0.857	
ENSG00000176679	TGIF2LY	chrY	+	3579067	3580041	1.7	0.558		0.154	0.958		0.95	0.736	
ENSG00000231535	LINC00278	chrY	+	3002887	3200509	0.536	0.00743	0.038	0.749	0.000124	0.0186	0.504	0.008	0.201
ENSG00000233070	ZFY-AS1	chrY	-	2966844	3002626	-0.372	0.277	0.44	-0.878	0.0124	0.0752	-0.46	0.165	0.481
ENSG00000278847		chrY	-	2934406	2934771	1.41	0.474		1.85	0.328		-0.989	0.632	
ENSG00000182484	WASH6P	chrX	+	156020826	156025710	-0.336	0.00465	0.0288	-0.271	0.0198	0.0924	-0.049	0.662	0.86
ENSG00000124334	IL9R	chrX	+	155997696	156010817	-0.554	0.586		-1.17	0.272		-1.03	0.313	0.631
ENSG00000124333	VAMP7	chrX	+	155881345	155943769	-0.125	0.131	0.262	-0.188	0.0216	0.0968	-0.205	0.0103	0.208
ENSG00000224533	TMLHE-AS1	chrX	+	155466540	155611616	0.958	0.662		2.36	0.261		0.885	0.67	
ENSG00000155961	RAB39B	chrX	-	155258235	155264491	0.295	0.552	0.695	0.305	0.536	0.685	0.384	0.427	0.717
ENSG00000203870	SMIM9	chrX	-	154823348	154834662	-1.3	0.00857	0.0416	-0.647	0.167	0.322	-0.697	0.127	0.432
ENSG00000154620	TMSB4Y	chrY	+	13703899	13706024	0.11	0.928	0.957	-0.38	0.751	0.845	-0.366	0.752	0.899
