gene_ID	hgnc_symbol	chr	strand	start	end	FEZF2_CE_log2FoldChange	FEZF2_CE_pvalue	FEZF2_CE_padj	FEZF2_KO_log2FoldChange	FEZF2_KO_pvalue	FEZF2_KO_padj	FEZF2_PTC_log2FoldChange	FEZF2_PTC_pvalue	FEZF2_PTC_padj
ENSG00000271254		KI270711.1	-	4612	29626	-0.159	0.372	0.686	-0.0756	0.672	1	-0.0741	0.678	1
ENSG00000277196		KI270734.1	-	138082	161852	-0.0632	0.822	0.935	0.198	0.482	1	0.316	0.261	1
ENSG00000278817		KI270734.1	+	131494	137392	6.81	0.00555		6.86	0.0052	1	7.42	0.00247	1
ENSG00000198692	EIF1AY	chrY	+	20575776	20593154	0.451	0.00553	0.176	0.115	0.483	1	0.277	0.0898	1
ENSG00000229236	TTTY10	chrY	-	20464916	20575519	0.00271	0.997		0.778	0.233	1	0.484	0.461	1
ENSG00000260197		chrY	-	19691941	19694606	-0.542	0.128		0.291	0.404	1	-0.485	0.173	1
ENSG00000290853		chrY	+	13703902	13888980	-0.42	0.3	0.628	0.208	0.607	1	-0.068	0.867	1
ENSG00000067048	DDX3Y	chrY	+	12904108	12920478	0.0698	0.619	0.839	0.0644	0.646	1	0.0748	0.594	1
ENSG00000286009		chrY	-	12661309	12663478	0.217	0.776		-0.189	0.806	1	-0.038	0.961	1
ENSG00000277930		chrY	-	4993858	4999650	0.62	0.669		0.0397	0.979	1	-0.483	0.749	1
ENSG00000231535	LINC00278	chrY	+	3002887	3200509	-1.19	0.332		0.95	0.395	1	1.18	0.288	1
ENSG00000278847		chrY	-	2934406	2934771	-1.18	0.355		-2.35	0.0909	1	-0.544	0.663	1
ENSG00000182484	WASH6P	chrX	+	156020826	156025710	0.289	0.119	0.446	0.261	0.159	1	0.294	0.112	1
ENSG00000124334	IL9R	chrX	+	155997696	156010817	0.246	0.803		-0.449	0.656	1	0.344	0.727	1
ENSG00000124333	VAMP7	chrX	+	155881345	155943769	0.176	0.307	0.632	0.0852	0.622	1	0.0873	0.613	1
ENSG00000224533	TMLHE-AS1	chrX	+	155466540	155611616	-1.58	0.141		-1.28	0.231	1	-1.44	0.181	1
ENSG00000155961	RAB39B	chrX	-	155258235	155264491	-0.0317	0.85	0.946	-0.0192	0.909	1	0.00339	0.984	1
ENSG00000154620	TMSB4Y	chrY	+	13703899	13706024	0.211	0.812		0.106	0.905	1	-0.458	0.606	1
ENSG00000130830	MPP1	chrX	-	154778684	154821007	-0.364	0.812		0.378	0.802	1	1.76	0.239	1
ENSG00000272681	FAM223B	chrX	-	154632470	154633182	-1.76	0.234		-1.77	0.232	1	-0.867	0.546	1
ENSG00000269335	IKBKG	chrX	+	154541199	154565046	0.0233	0.887		0.117	0.475	1	0.256	0.117	1
ENSG00000160211	G6PD	chrX	-	154517825	154547572	0.144	0.336	0.656	0.0358	0.811	1	0.153	0.304	1
ENSG00000102178	UBL4A	chrX	-	154483717	154486615	0.0853	0.666	0.861	0.0243	0.902	1	0.13	0.511	1
ENSG00000130827	PLXNA3	chrX	+	154458281	154477779	-0.104	0.619	0.839	-0.0125	0.952	1	0.077	0.711	1
ENSG00000071859	FAM50A	chrX	+	154444141	154450654	0.151	0.425	0.72	0.123	0.515	1	0.22	0.245	1
ENSG00000013563	DNASE1L1	chrX	-	154401236	154412112	0.152	0.427		0.129	0.502	1	0.213	0.266	1
ENSG00000280195		chrX	-	154396878	154398842	-0.608	0.195		-0.854	0.071	1	-0.478	0.307	1
ENSG00000007350	TKTL1	chrX	+	154295795	154330350	-0.782	0.722		1.46	0.466	1	1.82	0.36	1
ENSG00000169057	MECP2	chrX	-	154021573	154137103	-0.428	0.000543	0.0931	-0.182	0.141	1	-0.267	0.0312	1
ENSG00000177854	TMEM187	chrX	+	153972754	153983194	-0.143	0.72		-0.164	0.679	1	-0.00624	0.987	1
ENSG00000102032	RENBP	chrX	-	153935269	153944687	0.0951	0.766		0.0605	0.85	1	0.227	0.478	1
ENSG00000089820	ARHGAP4	chrX	-	153907367	153934999	0.197	0.325		0.147	0.463	1	0.269	0.181	1
ENSG00000198910	L1CAM	chrX	-	153861514	153886173	-0.209	0.256	0.593	-0.0527	0.775	1	-0.0969	0.599	1
ENSG00000067840	PDZD4	chrX	-	153802166	153830565	0.0863	0.737		-0.0205	0.936	1	0.315	0.219	1
ENSG00000180879	SSR4	chrX	+	153793516	153798499	0.152	0.43	0.724	-0.13	0.502	1	0.0367	0.849	1
ENSG00000067829	IDH3G	chrX	-	153785766	153794512	0.207	0.247	0.584	0.0891	0.62	1	0.153	0.393	1
ENSG00000198753	PLXNB3	chrX	+	153764196	153779346	0.44	0.616		0.0851	0.923	1	0.203	0.819	1
ENSG00000185825	BCAP31	chrX	-	153700492	153724565	0.227	0.195	0.53	0.00421	0.981	1	0.13	0.457	1
ENSG00000130822	PNCK	chrX	-	153669733	153689010	0.199	0.513	0.777	0.099	0.745	1	0.311	0.307	1
