gene_ID	hgnc_symbol	chr	strand	start	end	SIX3_PTC_log2FoldChange	SIX3_PTC_pvalue	SIX3_PTC_padj
ENSG00000271254		KI270711.1	-	4612	29626	-0.054	0.782	0.928
ENSG00000276345		KI270721.1	+	2585	11802	0.907	0.5	
ENSG00000277196		KI270734.1	-	138082	161852	-0.158	0.174	0.486
ENSG00000278817		KI270734.1	+	131494	137392	-0.184	0.688	0.889
ENSG00000198692	EIF1AY	chrY	+	20575776	20593154	-0.0182	0.842	0.949
ENSG00000229236	TTTY10	chrY	-	20464916	20575519	0.211	0.546	0.814
ENSG00000260197		chrY	-	19691941	19694606	0.582	0.0689	0.292
ENSG00000290853		chrY	+	13703902	13888980	-0.0891	0.518	0.798
ENSG00000067048	DDX3Y	chrY	+	12904108	12920478	0.02	0.729	0.907
ENSG00000286009		chrY	-	12661309	12663478	-0.465	0.425	
ENSG00000277930		chrY	-	4993858	4999650	-1.3	0.251	
ENSG00000231535	LINC00278	chrY	+	3002887	3200509	1.31	0.0206	
ENSG00000278847		chrY	-	2934406	2934771	-0.548	0.52	
ENSG00000182484	WASH6P	chrX	+	156020826	156025710	-0.0633	0.516	0.797
ENSG00000124334	IL9R	chrX	+	155997696	156010817	0.534	0.611	
ENSG00000124333	VAMP7	chrX	+	155881345	155943769	0.045	0.582	0.835
ENSG00000224533	TMLHE-AS1	chrX	+	155466540	155611616	-0.164	0.806	
ENSG00000155961	RAB39B	chrX	-	155258235	155264491	-0.164	0.133	0.42
ENSG00000154620	TMSB4Y	chrY	+	13703899	13706024	0.0759	0.687	0.889
ENSG00000272681	FAM223B	chrX	-	154632470	154633182	-0.44	0.701	
ENSG00000269335	IKBKG	chrX	+	154541199	154565046	-0.00818	0.947	0.985
ENSG00000160211	G6PD	chrX	-	154517825	154547572	-0.0839	0.208	0.533
ENSG00000102178	UBL4A	chrX	-	154483717	154486615	0.162	0.0677	0.288
ENSG00000130827	PLXNA3	chrX	+	154458281	154477779	0.107	0.193	0.512
ENSG00000071859	FAM50A	chrX	+	154444141	154450654	0.0129	0.864	0.956
ENSG00000013563	DNASE1L1	chrX	-	154401236	154412112	0.0272	0.801	0.933
ENSG00000280195		chrX	-	154396878	154398842	0.115	0.727	0.906
ENSG00000007350	TKTL1	chrX	+	154295795	154330350	0.665	0.379	
ENSG00000169057	MECP2	chrX	-	154021573	154137103	-0.01	0.855	0.953
ENSG00000177854	TMEM187	chrX	+	153972754	153983194	-0.485	0.0408	0.211
ENSG00000102032	RENBP	chrX	-	153935269	153944687	0.266	0.162	0.466
ENSG00000089820	ARHGAP4	chrX	-	153907367	153934999	0.176	0.142	0.436
ENSG00000198910	L1CAM	chrX	-	153861514	153886173	0.907	2.81e-20	4.84e-18
ENSG00000067840	PDZD4	chrX	-	153802166	153830565	0.805	4.02e-07	1.43e-05
ENSG00000180879	SSR4	chrX	+	153793516	153798499	-0.00397	0.957	0.987
ENSG00000067829	IDH3G	chrX	-	153785766	153794512	-0.0774	0.374	0.7
ENSG00000198753	PLXNB3	chrX	+	153764196	153779346	0.421	0.412	0.729
ENSG00000185825	BCAP31	chrX	-	153700492	153724565	-0.0205	0.708	0.898
ENSG00000130822	PNCK	chrX	-	153669733	153689010	-0.0427	0.676	0.883
ENSG00000067842	ATP2B3	chrX	+	153517642	153582939	0.516	0.218	0.546
ENSG00000183837	PNMA3	chrX	+	153056409	153060467	0.23	0.111	0.38
ENSG00000147383	NSDHL	chrX	+	152830967	152869729	-0.147	0.121	0.399
ENSG00000147400	CETN2	chrX	-	152826994	152830757	-0.00275	0.97	0.991
ENSG00000160131	VMA21	chrX	+	151396515	151409364	0.0228	0.624	0.855
ENSG00000029993	HMGB3	chrX	+	150980509	150990771	-0.135	0.00972	0.0802
ENSG00000102181	CD99L2	chrX	-	150766336	150898816	-0.248	0.000277	0.00491
ENSG00000063601	MTMR1	chrX	+	150692971	150765108	-0.0377	0.586	0.837
ENSG00000013619	MAMLD1	chrX	+	150361422	150514178	0.908	0.204	
ENSG00000269556	TMEM185A	chrX	-	149596556	149631912	-0.0268	0.8	0.933
ENSG00000241769	EOLA1-DT	chrX	-	149527591	149540959	0.247	0.379	0.703
ENSG00000277215	SPANXA2-OT1	chrX	+	141177284	141649927	0.0151	0.972	0.992
ENSG00000182195	LDOC1	chrX	-	141111605	141177129	-0.205	0.028	0.165
ENSG00000134595	SOX3	chrX	-	140502985	140505069	-0.655	7.76e-13	6.9e-11
ENSG00000129682	FGF13	chrX	-	138614727	139222777	-0.252	0.0046	0.0458
ENSG00000283692		chrX	+	137573752	137981780	0.491	0.681	
ENSG00000291054		chrX	+	136909369	137069407	0.294	0.205	0.528
ENSG00000233093	LINC00892	chrX	+	136639535	136642433	0.0891	0.95	
ENSG00000165359	INTS6L	chrX	+	135520659	135582510	0.0263	0.811	0.936
ENSG00000178947	SMIM10L2A	chrX	+	135421944	135428075	0.337	0.00386	0.0399
ENSG00000173275	ZNF449	chrX	+	135344796	135363413	-0.00904	0.92	0.978
ENSG00000203950	RTL8A	chrX	-	135050932	135052196	-0.194	0.0366	0.196
ENSG00000184785	SMIM10	chrX	+	134990991	134992473	1.89	0.116	
ENSG00000101928	MOSPD1	chrX	-	134887632	134915257	-0.114	0.267	0.602
ENSG00000156504	PABIR2	chrX	-	134769566	134797232	-0.113	0.0855	0.329
ENSG00000170965	PLAC1	chrX	-	134565838	134764322	0.502	0.503	
ENSG00000156531	PHF6	chrX	+	134373288	134428791	0.0016	0.972	0.992
ENSG00000147257	GPC3	chrX	-	133535745	133987100	-0.366	3.19e-10	1.9e-08
ENSG00000076770	MBNL3	chrX	-	132369320	132489968	0.0615	0.47	0.768
ENSG00000134602	STK26	chrX	+	132023302	132075943	-0.0561	0.289	0.627
ENSG00000213468	FIRRE	chrX	-	131688779	131830862	-0.0102	0.848	0.95
ENSG00000286060		chrX	+	131578681	131611684	-0.925	0.622	
ENSG00000287806		chrX	+	131385453	131407083	-2.81	0.115	
ENSG00000147256	ARHGAP36	chrX	+	131058346	131089885	-0.909	0.185	
ENSG00000102078	SLC25A14	chrX	+	130339888	130373361	-0.138	0.314	0.65
ENSG00000085185	BCORL1	chrX	+	129981107	130058071	-0.101	0.0812	0.319
ENSG00000188706	ZDHHC9	chrX	-	129803288	129843909	-0.163	0.00289	0.0321
ENSG00000123165	ACTRT1	chrX	-	128050962	128052403	0.0925	0.961	
ENSG00000198354	DCAF12L2	chrX	-	126163499	126166289	-0.345	0.161	0.465
ENSG00000009694	TENM1	chrX	-	124375903	125204312	-0.156	0.403	0.722
ENSG00000282419	TEX13D	chrX	+	124246249	124336863	-1.46	0.0803	
ENSG00000101966	XIAP	chrX	+	123859712	123913972	0.0867	0.235	0.565
ENSG00000125676	THOC2	chrX	-	123600561	123733056	0.00806	0.886	0.966
ENSG00000125675	GRIA3	chrX	+	123184153	123490915	0.0117	0.898	0.971
ENSG00000171155	C1GALT1C1	chrX	-	120625674	120630054	-0.0433	0.635	0.861
ENSG00000158290	CUL4B	chrX	-	120505920	120604074	-0.0209	0.627	0.857
ENSG00000005893	LAMP2	chrX	-	120426148	120469365	0.0327	0.589	0.838
ENSG00000125355	TMEM255A	chrX	-	120258650	120311556	0.311	0.0785	0.314
ENSG00000258545	RHOXF1-AS1	chrX	+	120036236	120146855	0.0377	0.981	
ENSG00000125352	RNF113A	chrX	-	119870475	119871733	-0.173	0.324	0.659
ENSG00000286366		chrX	+	119791971	119810949	-0.0422	0.948	
ENSG00000125354	SEPTIN6	chrX	-	119615724	119693370	-0.299	0.000215	0.00394
ENSG00000018610	STEEP1	chrX	-	119538149	119565409	0.0198	0.843	0.949
ENSG00000077721	UBE2A	chrX	+	119474802	119591083	-0.167	0.0131	0.0994
ENSG00000005022	SLC25A5	chrX	+	119468422	119471396	0.00369	0.947	0.985
ENSG00000224281	SLC25A5-AS1	chrX	-	119465986	119469128	0.0927	0.71	0.898
ENSG00000237903		chrX	+	119422917	119423547	0.304	0.83	
ENSG00000077713	SLC25A43	chrX	+	119399336	119454478	0.236	0.196	0.517
ENSG00000175556	LONRF3	chrX	+	118974614	119018355	-0.379	0.328	0.662
ENSG00000235244	DANT2	chrX	-	115694880	115969148	0.13	0.678	0.884
ENSG00000102024	PLS3	chrX	+	115561174	115650861	0.0461	0.403	0.722
ENSG00000288595		chrX	+	114040388	114056276	-0.148	0.853	0.952
ENSG00000077279	DCX	chrX	-	111293779	111412429	0.167	0.0392	0.205
ENSG00000224142	AMMECR1-IT1	chrX	-	110305420	110307221	1.08	0.431	
ENSG00000157600	TMEM164	chrX	+	110002631	110182734	-0.121	0.0472	0.23
ENSG00000289365		chrX	+	109733479	109734864	-0.433	0.563	
ENSG00000068366	ACSL4	chrX	-	109624244	109733403	0.122	0.0399	0.207
ENSG00000101890	GUCY2F	chrX	-	109372906	109482086	0.331	0.747	
ENSG00000237863	IRS4-AS1	chrX	+	108736011	108739223	-0.253	0.187	0.505
ENSG00000197565	COL4A6	chrX	-	108155607	108439497	-0.0438	0.386	0.709
ENSG00000101844	ATG4A	chrX	+	108091668	108154671	-0.109	0.569	0.829
ENSG00000080561	MID2	chrX	+	107825755	107931637	-0.102	0.687	0.889
ENSG00000198088	NUP62CL	chrX	-	107123427	107206433	-0.322	0.0767	0.31
ENSG00000133131	MORC4	chrX	-	106813871	107000212	-0.0697	0.723	0.905
ENSG00000133138	TBC1D8B	chrX	+	106802673	106876150	0.108	0.552	0.818
ENSG00000133135	RNF128	chrX	+	106693794	106797016	-0.567	0.399	
ENSG00000157502	PWWP3B	chrX	+	106168305	106208956	-0.296	0.0391	0.205
ENSG00000166707	ZCCHC18	chrX	+	104112131	104115842	-0.264	0.185	0.503
ENSG00000269226	TMSB15C	chrX	-	104063871	104076236	-0.238	0.568	0.829
ENSG00000231728	TMSB15B-AS1	chrX	-	103845151	103919548	0.142	0.514	0.796
ENSG00000172476	RAB40A	chrX	-	103499130	103519489	0.241	0.568	0.829
ENSG00000234405		chrX	+	103486461	103517919	0.172	0.534	0.807
ENSG00000185222	TCEAL9	chrX	+	103356489	103358462	-0.0739	0.451	0.757
ENSG00000182916	TCEAL7	chrX	+	103330229	103332326	-0.177	0.0653	0.281
ENSG00000133134	BEX2	chrX	-	103309346	103311007	-0.272	0.00992	0.0812
ENSG00000286846		chrX	+	102945971	102952039	0.226	0.618	0.852
ENSG00000286237		chrX	+	102712495	102753530	0.0861	0.663	0.876
ENSG00000158301	GPRASP2	chrX	+	102712445	102717733	-0.0162	0.793	0.931
ENSG00000125962	ARMCX5	chrX	+	102599168	102604159	0.00708	0.924	0.979
ENSG00000290811		chrX	+	102549965	102571695	1.33	0.369	
ENSG00000215029	TCP11X2	chrX	-	102456862	102471842	0.887	0.000895	0.0129
ENSG00000269405	NXF2	chrX	+	102247167	102326722	0.884	0.156	
ENSG00000204071	TCEAL6	chrX	-	102140476	102142970	0.202	0.831	
ENSG00000184905	TCEAL2	chrX	+	102125679	102140426	-0.118	0.32	0.654
ENSG00000184867	ARMCX2	chrX	-	101655281	101659850	-0.0263	0.614	0.851
ENSG00000102401	ARMCX3	chrX	+	101622797	101627843	-0.13	0.0742	0.305
ENSG00000010671	BTK	chrX	-	101349338	101390796	-0.23	0.872	
ENSG00000102384	CENPI	chrX	+	101098188	101166126	-0.114	0.0829	0.323
ENSG00000204086	RPA4	chrX	+	96883908	96885467	0.423	0.364	0.692
ENSG00000147202	DIAPH2	chrX	+	96684712	97604997	0.237	9.09e-05	0.00186
ENSG00000186310	NAP1L3	chrX	-	93670930	93673578	-0.0215	0.802	0.934
ENSG00000289479		chrX	-	92100276	92104768	0.189	0.771	
ENSG00000234161	PABPC5-AS1	chrX	-	91414878	91434999	-0.658	0.579	
ENSG00000184788	SATL1	chrX	-	85092284	85243911	0.871	0.535	
ENSG00000072133	RPS6KA6	chrX	-	84058346	84206356	0.00576	0.94	0.983
ENSG00000196767	POU3F4	chrX	+	83508290	83512127	0.476	0.311	0.648
ENSG00000131171	SH3BGRL	chrX	+	81202102	81298547	-0.133	0.0699	0.294
ENSG00000147255	IGSF1	chrX	-	131273506	131578899	-0.597	1.64e-16	2.09e-14
ENSG00000198157	HMGN5	chrX	-	81113699	81201913	-0.3	0.0229	0.144
ENSG00000165288	BRWD3	chrX	-	80669503	80809877	0.0592	0.182	0.498
ENSG00000122145	TBX22	chrX	+	80014753	80031774	0.371	0.493	
ENSG00000078596	ITM2A	chrX	-	79360384	79367667	-0.0252	0.909	0.974
ENSG00000102158	MAGT1	chrX	-	77825747	77899271	-0.00265	0.983	0.995
ENSG00000198934	MAGEE1	chrX	+	76427710	76431342	-0.158	0.138	0.429
ENSG00000102390	PBDC1	chrX	+	76173040	76178314	-0.0847	0.332	0.665
ENSG00000226854		chrX	+	75903105	75904858	-0.231	0.828	
ENSG00000094841	UPRT	chrX	+	75156388	75304885	0.1	0.397	0.716
ENSG00000147100	SLC16A2	chrX	+	74421493	74533917	0.121	0.0475	0.231
ENSG00000225470	JPX	chrX	+	73944182	74070408	0.162	0.00718	0.0646
ENSG00000231963		chrX	+	73080167	73084635	0.258	0.823	
ENSG00000186288	PABPC1L2A	chrX	-	73077276	73079512	0.6	0.359	
ENSG00000269502	DMRTC1	chrX	-	72872025	72943837	0.279	0.748	
ENSG00000269911	FAM226B	chrX	+	72777608	72779097	-0.104	0.671	0.881
ENSG00000147099	HDAC8	chrX	-	72329516	72573101	0.0137	0.863	0.955
ENSG00000198034	RPS4X	chrX	-	72255679	72277248	-0.113	0.0155	0.112
ENSG00000186871	ERCC6L	chrX	-	72204657	72239027	0.0151	0.79	0.93
