gene_ID	hgnc_symbol	chr	strand	start	end	MEF2C_CE_log2FoldChange	MEF2C_CE_pvalue	MEF2C_CE_padj	MEF2C_KO_log2FoldChange	MEF2C_KO_pvalue	MEF2C_KO_padj	MEF2C_PTC_log2FoldChange	MEF2C_PTC_pvalue	MEF2C_PTC_padj
ENSG00000271254		KI270711.1	-	4612	29626	0.203	0.168	0.637	0.00761	0.959	1	0.062	0.673	1
ENSG00000277196		KI270734.1	-	138082	161852	0.1	0.763	0.93	0.251	0.444	1	0.474	0.143	1
ENSG00000278817		KI270734.1	+	131494	137392	0.0488	0.875	0.969	0.396	0.191	1	0.375	0.215	1
ENSG00000198692	EIF1AY	chrY	+	20575776	20593154	0.0974	0.597	0.874	0.254	0.162	1	0.0762	0.676	1
ENSG00000229236	TTTY10	chrY	-	20464916	20575519	-1.39	0.0535	0.589	-0.657	0.332	1	-0.683	0.311	1
ENSG00000260197		chrY	-	19691941	19694606	-0.517	0.191	0.65	-0.437	0.261	1	-0.661	0.0905	1
ENSG00000290853		chrY	+	13703902	13888980	-0.308	0.354	0.746	-0.558	0.0935	1	-0.47	0.156	1
ENSG00000067048	DDX3Y	chrY	+	12904108	12920478	0.0912	0.473	0.811	-0.0203	0.873	1	-0.0624	0.623	1
ENSG00000286009		chrY	-	12661309	12663478	1	0.354	0.746	0.35	0.753	1	0.643	0.553	1
ENSG00000290323		chrY	-	7694707	7810305	-0.768	0.42	0.783	-0.365	0.684	1	-0.0101	0.991	1
ENSG00000231535	LINC00278	chrY	+	3002887	3200509	-0.355	0.117	0.607	-0.457	0.0434	1	-0.315	0.163	1
ENSG00000233070	ZFY-AS1	chrY	-	2966844	3002626	0.254	0.558	0.857	-0.219	0.617	1	0.0363	0.933	1
ENSG00000278847		chrY	-	2934406	2934771	-0.532	0.804	0.94	0.842	0.668	1	-0.682	0.747	1
ENSG00000182484	WASH6P	chrX	+	156020826	156025710	-0.0648	0.609	0.879	-0.122	0.333	1	-0.13	0.301	1
ENSG00000124334	IL9R	chrX	+	155997696	156010817	1	0.295	0.714	0.851	0.371	1	1.23	0.184	1
ENSG00000124333	VAMP7	chrX	+	155881345	155943769	-0.0324	0.856	0.96	0.154	0.388	1	0.186	0.297	1
ENSG00000224533	TMLHE-AS1	chrX	+	155466540	155611616	-1.62	0.111	0.605	0.0915	0.921	1	-0.463	0.622	1
ENSG00000155961	RAB39B	chrX	-	155258235	155264491	-0.49	0.34	0.738	-0.0271	0.957	1	0.212	0.67	1
ENSG00000274183	H2AB1	chrX	+	154884972	154885558	-2.26	0.458		-0.102	0.972	1	-0.824	0.784	
ENSG00000203870	SMIM9	chrX	-	154823348	154834662	1.19	0.21	0.661	-0.0646	0.947	1	0.032	0.973	1
ENSG00000154620	TMSB4Y	chrY	+	13703899	13706024	-0.175	0.834	0.951	-1.08	0.196	1	-0.871	0.297	1
ENSG00000130830	MPP1	chrX	-	154778684	154821007	0.922	0.114	0.605	-0.0625	0.915	1	0.02	0.973	1
ENSG00000272681	FAM223B	chrX	-	154632470	154633182	-2.68	0.279		1.56	0.481	1	2.06	0.35	1
ENSG00000184033	CTAG1B	chrX	-	154617609	154619282	0.0211	0.994	0.999	-2.55	0.393		-1.69	0.572	1
ENSG00000269335	IKBKG	chrX	+	154541199	154565046	0.178	0.16	0.63	0.0877	0.486	1	0.0898	0.473	1
ENSG00000160211	G6PD	chrX	-	154517825	154547572	0.12	0.385	0.765	0.242	0.0776	1	0.0884	0.519	1
ENSG00000102178	UBL4A	chrX	-	154483717	154486615	-0.0135	0.909	0.983	0.0878	0.452	1	0.0986	0.396	1
